time,sensor0,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
2020-09-28 11:21:55.672204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2020-09-28 11:21:55.776202,0.019999,0.039997,0.059996,0.079995,0.099993,0.119992,0.139991,0.159989,0.179988,0.199987
2020-09-28 11:21:55.876206,0.039989,0.079979,0.119968,0.159957,0.199947,0.239936,0.279925,0.319915,0.359904,0.399893
2020-09-28 11:21:55.976207,0.059964,0.119928,0.179892,0.239856,0.299820,0.359784,0.419748,0.479712,0.539676,0.599640
2020-09-28 11:21:56.080203,0.079915,0.159829,0.239744,0.319659,0.399573,0.479488,0.559403,0.639318,0.719232,0.799147
2020-09-28 11:21:56.180205,0.099833,0.199667,0.299500,0.399334,0.499167,0.599000,0.698834,0.798667,0.898501,0.998334
2020-09-28 11:21:56.280246,0.119712,0.239424,0.359137,0.478849,0.598561,0.718273,0.837985,0.957698,1.077410,1.197122
2020-09-28 11:21:56.380247,0.139543,0.279086,0.418629,0.558172,0.697716,0.837259,0.976802,1.116345,1.255888,1.395431
2020-09-28 11:21:56.484244,0.159318,0.318636,0.477955,0.637273,0.796591,0.955909,1.115227,1.274546,1.433864,1.593182
2020-09-28 11:21:56.588205,0.179030,0.358059,0.537089,0.716118,0.895148,1.074177,1.253207,1.432237,1.611266,1.790296
2020-09-28 11:21:56.692203,0.198669,0.397339,0.596008,0.794677,0.993347,1.192016,1.390685,1.589355,1.788024,1.986693
2020-09-28 11:21:56.792207,0.218230,0.436459,0.654689,0.872918,1.091148,1.309378,1.527607,1.745837,1.964067,2.182296
2020-09-28 11:21:56.893015,0.237703,0.475405,0.713108,0.950811,1.188513,1.426216,1.663918,1.901621,2.139324,2.377026
2020-09-28 11:21:56.996975,0.257081,0.514161,0.771242,1.028322,1.285403,1.542483,1.799564,2.056644,2.313725,2.570806
2020-09-28 11:21:57.100970,0.276356,0.552711,0.829067,1.105423,1.381778,1.658134,1.934490,2.210845,2.487201,2.763556
2020-09-28 11:21:57.201014,0.295520,0.591040,0.886561,1.182081,1.477601,1.773121,2.068641,2.364162,2.659682,2.955202
